abs_threshold	retained_samples	retained_pairs
1	160	12141
2	146	2375
3	60	561
4	32	158
5	30	154
6	26	145
7	24	142
8	24	142
9	24	134
10	24	133
11	24	133
12	24	131
13	23	129
14	23	129
15	22	119
16	21	116
17	21	115
18	21	115
19	21	115
20	20	113
21	20	110
22	20	108
23	20	108
24	20	107
25	20	107
26	19	103
27	19	103
28	19	103
29	19	102
30	19	102
31	19	101
32	19	100
33	19	100
34	19	97
35	16	84
36	16	84
37	16	83
38	16	83
39	16	83
40	16	82
41	16	80
42	16	80
43	16	78
44	16	73
45	16	72
46	16	71
47	16	71
48	16	68
49	16	66
50	16	66
51	16	66
52	16	65
53	16	62
54	16	62
55	16	62
56	16	62
57	15	59
58	15	58
59	15	58
60	15	57
61	15	57
62	14	53
63	14	52
64	14	52
65	14	51
66	14	51
67	14	51
68	14	51
69	13	45
70	13	44
71	13	42
72	13	40
73	13	40
74	12	31
75	12	30
76	11	28
77	11	28
78	11	26
79	11	26
80	11	22
81	11	20
82	11	20
83	10	19
84	10	19
85	9	16
86	9	16
87	9	16
88	9	16
89	9	16
90	9	16
91	9	16
92	9	16
93	8	13
94	8	13
95	8	13
96	8	13
97	8	12
98	8	12
99	8	12
100	8	12
101	4	4
102	2	2
103	2	2
104	1	1
105	1	1
