sample	srr	cohort	status	layout	abs_threshold	rel_threshold	input_reads	input_bp	retained_reads	wall_seconds	deacon_version	failure_reason
CA_Ontario_20250825__SRR36790980	SRR36790980	CA_Ontario	success	paired	1	0.0	2294042350	346400394850	18	5995	deacon 0.15.0	
CA_Ontario_20250827__SRR36790970	SRR36790970	CA_Ontario	success	paired	1	0.0	2339340096	353240354496	18	5659	deacon 0.15.0	
CA_Riverside_20250602__SRR35931371	SRR35931371	CA_Riverside	success	paired	1	0.0	2321237660	350506886660	22	7388	deacon 0.15.0	
CA_Riverside_20250605__SRR35931372	SRR35931372	CA_Riverside	success	paired	1	0.0	2932979042	442879835342	0	5693	deacon 0.15.0	
CA_Riverside_20250609__SRR35931373	SRR35931373	CA_Riverside	success	paired	1	0.0	3445843638	520322389338	0	6346	deacon 0.15.0	
CA_Riverside_20250612__SRR35931374	SRR35931374	CA_Riverside	success	paired	1	0.0	2905896276	438790337676	28	1203	deacon 0.15.0	
CA_Riverside_20250616__SRR35931375	SRR35931375	CA_Riverside	success	paired	1	0.0	2547819116	384720686516	20	7185	deacon 0.15.0	
CA_Riverside_20250619__SRR35931376	SRR35931376	CA_Riverside	success	paired	1	0.0	2442044860	368748773860	84	4655	deacon 0.15.0	
CA_Riverside_20250623__SRR35931353	SRR35931353	CA_Riverside	success	paired	1	0.0	2681441190	404897619690	0	8114	deacon 0.15.0	
CA_Riverside_20250626__SRR35931355	SRR35931355	CA_Riverside	success	paired	1	0.0	2401444450	362618111950	2	970	deacon 0.15.0	
CA_Riverside_20250630__SRR35931356	SRR35931356	CA_Riverside	success	paired	1	0.0	2502319688	377850272888	16	4763	deacon 0.15.0	
CA_Riverside_20250703__SRR35931351	SRR35931351	CA_Riverside	success	paired	1	0.0	1957132542	295527013842	0	4668	deacon 0.15.0	
CA_Riverside_20250707__SRR35931350	SRR35931350	CA_Riverside	success	paired	1	0.0	1769498736	267194309136	16	5206	deacon 0.15.0	
CA_Riverside_20250710__SRR35931349	SRR35931349	CA_Riverside	success	paired	1	0.0	2097432266	316712272166	2	6139	deacon 0.15.0	
CA_Riverside_20250714__SRR35931348	SRR35931348	CA_Riverside	success	paired	1	0.0	2166343298	327117837998	0	5561	deacon 0.15.0	
CA_Riverside_20250717__SRR35931347	SRR35931347	CA_Riverside	success	paired	1	0.0	2072241464	312908461064	2	6032	deacon 0.15.0	
CA_Riverside_20250721__SRR35931346	SRR35931346	CA_Riverside	success	paired	1	0.0	1733039078	261688900778	26	5164	deacon 0.15.0	
CA_Riverside_20250731__SRR35931345	SRR35931345	CA_Riverside	success	paired	1	0.0	1824124756	275442838156	12	4882	deacon 0.15.0	
CA_Riverside_20250804__SRR35931343	SRR35931343	CA_Riverside	success	paired	1	0.0	1848808270	279170048770	10	3434	deacon 0.15.0	
CA_Riverside_20250807__SRR35931364	SRR35931364	CA_Riverside	success	paired	1	0.0	1857922326	280546271226	10	4633	deacon 0.15.0	
CA_Riverside_20250811__SRR35931363	SRR35931363	CA_Riverside	failure	paired					0		deacon 0.15.0	R1 download failed: 2026-08-04 16:27:24.405067 [ERROR] [AbstractCommand.cc:378] CUID#7 - Download aborted. URI=https://f
CA_Riverside_20250814__SRR35931362	SRR35931362	CA_Riverside	failure	paired					0		deacon 0.15.0	R1 download failed: 2026-08-04 16:28:00.781410 [ERROR] [AbstractCommand.cc:378] CUID#7 - Download aborted. URI=https://f
CA_Riverside_20250818__SRR35931340	SRR35931340	CA_Riverside	failure	paired					0		deacon 0.15.0	R1 download failed: 2026-08-04 16:28:37.849173 [ERROR] [AbstractCommand.cc:378] CUID#7 - Download aborted. URI=https://f
CA_Riverside_20250821__SRR35931339	SRR35931339	CA_Riverside	failure	paired					0		deacon 0.15.0	R1 download failed: 2026-08-04 16:29:14.754361 [ERROR] [AbstractCommand.cc:378] CUID#7 - Download aborted. URI=https://f
CA_Riverside_20250825__SRR35931338	SRR35931338	CA_Riverside	failure	paired					0		deacon 0.15.0	R1 download failed: 2026-08-04 16:29:48.615788 [ERROR] [AbstractCommand.cc:378] CUID#7 - Download aborted. URI=https://f
CA_Riverside_20250828__SRR35931337	SRR35931337	CA_Riverside	failure	paired					0		deacon 0.15.0	R1 download failed: 2026-08-04 16:30:26.228384 [ERROR] [AbstractCommand.cc:378] CUID#7 - Download aborted. URI=https://f
CA_Sacramento_20250828__SRR36814890	SRR36814890	CA_Sacramento	failure	paired					0		deacon 0.15.0	R1 download failed: 2026-08-04 16:31:08.153193 [ERROR] [AbstractCommand.cc:378] CUID#7 - Download aborted. URI=https://f
CHI-A_20250601__SRR35987624	SRR35987624	CHI-A	failure	paired					0		deacon 0.15.0	R1 download failed: 2026-08-04 16:31:44.286054 [ERROR] [AbstractCommand.cc:378] CUID#7 - Download aborted. URI=https://f
CHI-A_20250608__SRR35987567	SRR35987567	CHI-A	failure	paired					0		deacon 0.15.0	R1 download failed: 2026-08-04 16:32:58.417841 [ERROR] [AbstractCommand.cc:378] CUID#7 - Download aborted. URI=https://f
CHI-A_20250615__SRR35987592	SRR35987592	CHI-A	failure	paired					0		deacon 0.15.0	R1 download failed: 2026-08-04 16:33:34.010309 [ERROR] [AbstractCommand.cc:378] CUID#7 - Download aborted. URI=https://f
CHI-A_20250622__SRR35987589	SRR35987589	CHI-A	failure	paired					0		deacon 0.15.0	R1 download failed: 2026-08-04 16:34:09.933930 [ERROR] [AbstractCommand.cc:378] CUID#7 - Download aborted. URI=https://f
CHI-A_20250629__SRR35987588	SRR35987588	CHI-A	failure	paired					0		deacon 0.15.0	R1 download failed: 2026-08-04 16:34:46.901355 [ERROR] [AbstractCommand.cc:378] CUID#7 - Download aborted. URI=https://f
CHI-A_20250706__SRR35987654	SRR35987654	CHI-A	failure	paired					0		deacon 0.15.0	R1 download failed: 2026-08-04 16:35:24.429241 [ERROR] [AbstractCommand.cc:378] CUID#7 - Download aborted. URI=https://f
CHI-A_20250713__SRR35987653	SRR35987653	CHI-A	success	paired	1	0.0	1416143930	213837733430	0	585	deacon 0.15.0	
CHI-A_20250720__SRR35987652	SRR35987652	CHI-A	failure	paired					0		deacon 0.15.0	R1 download failed: 2026-08-04 16:36:01.348097 [ERROR] [AbstractCommand.cc:378] CUID#7 - Download aborted. URI=https://f
CHI-A_20250727__SRR35987587	SRR35987587	CHI-A	success	paired	1	0.0	1842911986	278279709886	120	4552	deacon 0.15.0	
CHI-A_20250803__SRR35987670	SRR35987670	CHI-A	success	paired	1	0.0	1868241616	282104484016	42	3590	deacon 0.15.0	
CHI-A_20250810__SRR35987646	SRR35987646	CHI-A	success	paired	1	0.0	1562442768	235928857968	16	3991	deacon 0.15.0	
CHI-A_20250817__SRR35987642	SRR35987642	CHI-A	success	paired	1	0.0	1755068398	265015328098	44	4442	deacon 0.15.0	
CHI-A_20250826__SRR35987641	SRR35987641	CHI-A	success	paired	1	0.0	1599541588	241530779788	0	4018	deacon 0.15.0	
CHI-A_20250831__SRR35987640	SRR35987640	CHI-A	success	paired	1	0.0	2037159668	307611109868	8	3724	deacon 0.15.0	
CHI-B_20250601__SRR35987657	SRR35987657	CHI-B	success	paired	1	0.0	1910390424	288468954024	4	713	deacon 0.15.0	
CHI-B_20250608__SRR35987656	SRR35987656	CHI-B	success	paired	1	0.0	2613828730	394688138230	22	797	deacon 0.15.0	
CHI-B_20250615__SRR35987655	SRR35987655	CHI-B	success	paired	1	0.0	3098224746	467831936646	46	1522	deacon 0.15.0	
CHI-B_20250622__SRR35987549	SRR35987549	CHI-B	success	paired	1	0.0	3231948608	488024239808	52	6455	deacon 0.15.0	
CHI-B_20250629__SRR35987548	SRR35987548	CHI-B	success	paired	1	0.0	1933967484	292029090084	28	4737	deacon 0.15.0	
CHI-B_20250706__SRR35987547	SRR35987547	CHI-B	success	paired	1	0.0	1840583192	277928061992	6	618	deacon 0.15.0	
CHI-B_20250713__SRR35987546	SRR35987546	CHI-B	success	paired	1	0.0	2103437970	317619133470	0	1413	deacon 0.15.0	
CHI-B_20250720__SRR35987545	SRR35987545	CHI-B	success	paired	1	0.0	1999438970	301915284470	52	4709	deacon 0.15.0	
CHI-B_20250727__SRR35987615	SRR35987615	CHI-B	success	paired	1	0.0	1755225394	265039034494	114	532	deacon 0.15.0	
CHI-B_20250803__SRR35987659	SRR35987659	CHI-B	success	paired	1	0.0	1786549322	269768947622	48	506	deacon 0.15.0	
CHI-B_20250810__SRR35987601	SRR35987601	CHI-B	success	paired	1	0.0	1827126376	275896082776	46	592	deacon 0.15.0	
CHI-B_20250817__SRR35987600	SRR35987600	CHI-B	success	paired	1	0.0	1904148094	287526362194	8	4929	deacon 0.15.0	
CHI-B_20250831__SRR35987666	SRR35987666	CHI-B	success	paired	1	0.0	1874112596	282991001996	4	564	deacon 0.15.0	
