threshold	target_reads	non_target_reads	top_tie_reads	no_hit_reads
1	282	16111	24	8
2	275	2683	24	0
3	263	491	14	0
4	259	11	2	0
5	257	9	2	0
6	248	3	2	0
7	245	2	1	0
8	244	2	1	0
9	229	2	1	0
10	227	2	0	0
11	224	2	0	0
12	221	2	0	0
13	220	0	0	0
14	220	0	0	0
15	202	0	0	0
16	196	0	0	0
17	193	0	0	0
18	193	0	0	0
19	190	0	0	0
20	187	0	0	0
21	181	0	0	0
22	175	0	0	0
23	175	0	0	0
24	172	0	0	0
25	171	0	0	0
26	166	0	0	0
27	164	0	0	0
28	164	0	0	0
29	162	0	0	0
30	160	0	0	0
31	158	0	0	0
32	156	0	0	0
33	156	0	0	0
34	151	0	0	0
35	131	0	0	0
36	131	0	0	0
37	128	0	0	0
38	127	0	0	0
39	127	0	0	0
40	126	0	0	0
41	123	0	0	0
42	120	0	0	0
43	118	0	0	0
44	112	0	0	0
45	108	0	0	0
46	107	0	0	0
47	107	0	0	0
48	102	0	0	0
49	98	0	0	0
50	98	0	0	0
51	98	0	0	0
52	95	0	0	0
53	90	0	0	0
54	90	0	0	0
55	90	0	0	0
56	89	0	0	0
57	84	0	0	0
58	82	0	0	0
59	77	0	0	0
60	75	0	0	0
61	75	0	0	0
62	71	0	0	0
63	69	0	0	0
64	69	0	0	0
65	64	0	0	0
66	62	0	0	0
67	59	0	0	0
68	58	0	0	0
69	51	0	0	0
70	50	0	0	0
71	47	0	0	0
72	44	0	0	0
73	44	0	0	0
74	35	0	0	0
75	33	0	0	0
76	29	0	0	0
77	29	0	0	0
78	27	0	0	0
79	27	0	0	0
80	23	0	0	0
81	21	0	0	0
82	21	0	0	0
83	20	0	0	0
84	20	0	0	0
85	17	0	0	0
86	17	0	0	0
87	17	0	0	0
88	17	0	0	0
89	17	0	0	0
90	17	0	0	0
91	17	0	0	0
92	17	0	0	0
93	14	0	0	0
94	14	0	0	0
95	14	0	0	0
96	14	0	0	0
97	13	0	0	0
98	13	0	0	0
99	13	0	0	0
100	13	0	0	0
101	5	0	0	0
102	3	0	0	0
103	3	0	0	0
104	2	0	0	0
105	2	0	0	0
