casper_code	longitude	latitude	role
CA_Ontario	-117.6509	34.0633	surveillance
CA_PaloAlto	-122.1109	37.4528	surveillance
CA_Riverside	-117.3755	33.9806	surveillance
CA_Sacramento	-121.4944	38.5816	surveillance
CHI-A	-87.6500	41.8800	surveillance
CHI-B	-87.6400	41.8800	surveillance
CHI-C	-87.6300	41.8800	surveillance
CHI-D1	-87.6200	41.8800	surveillance
CHI-D2	-87.6100	41.8800	surveillance
CHI-D3	-87.6000	41.8800	surveillance
FL_Miami	-80.1535	25.7450	surveillance
IA_Ottumwa	-92.4113	41.0147	surveillance
ID_Boise	-116.2023	43.6150	surveillance
MA_Boston_DITPN	-71.0570	42.3600	surveillance
MA_Boston_DITPS	-71.0560	42.3600	surveillance
MO_Columbia	-92.4087	38.9222	surveillance
MO_KC_BlueRiver	-94.6060	39.1095	surveillance
MO_KC_Westside	-94.4957	39.1198	surveillance
MO_Milan	-93.1282	40.2014	surveillance
MO_Monett	-93.9285	36.9289	surveillance
MO_STL_Bissell	-90.1805	38.6738	surveillance
MO_STL_Coldwater	-90.2728	38.8109	surveillance
MO_STL_Lemay	-90.2747	38.5317	surveillance
MO_STL_MORiver	-90.4925	38.7363	surveillance
NYC-Hospital-A	-74.0090	40.7100	surveillance
NYC-Hospital-B	-74.0080	40.7100	surveillance
NYC-Hospital-C	-74.0070	40.7100	surveillance
NYC-Hospital-D	-74.0060	40.7100	surveillance
OK-A	-97.5500	35.6200	surveillance
OK-B	-97.5000	35.4700	surveillance
Southern_California	-118.2400	34.0500	surveillance
