fortnight_beginning	CA_PaloAlto	CA_Sacramento	Southern_California	CA_Ontario	CA_Riverside	ID_Boise	OK-A	OK-B	MO_KC_BlueRiver	MO_KC_Westside	MO_Monett	MO_Milan	IA_Ottumwa	MO_Columbia	MO_STL_MORiver	MO_STL_Lemay	MO_STL_Coldwater	MO_STL_Bissell	CHI-A	CHI-B	CHI-C	CHI-D1	CHI-D2	FL_Miami	NYC-Hospital-A	NYC-Hospital-B	NYC-Hospital-C	NYC-Hospital-D	MA_Boston_DITPN	MA_Boston_DITPS
2023-12-25														0.000																
2024-01-08														0.000																
2024-02-05														0.000																
2024-02-19														0.000																
2024-03-04														0.000																
2024-03-18																													0.000	0.000
2024-04-15														0.000																
2024-04-29														0.000																
2024-05-13														0.000																
2024-05-27														0.000																
2024-06-10														0.000																
2024-06-24														0.000																
2024-07-08														0.000																
2024-07-22														0.791																
2024-08-05														0.000																
2024-08-19														0.000																
2024-09-02														0.000					0.000	0.000		0.000	0.000						0.000	0.000
2024-09-16														0.619					0.000										0.000	0.000
2024-09-30														0.000					0.000										0.000	0.000
2024-10-14														0.000					0.000	0.000		0.000	0.000			0.000				
2024-10-28						0.000								0.000					0.000	0.000		0.000	0.000						0.000	0.000
2024-11-11														0.000					0.000	0.000	0.000	0.000	0.000				0.000		0.000	0.000
2024-11-25						0.000								0.000					0.000	0.000	0.000	0.000	0.000						0.000	0.000
2024-12-09					0.000	0.000								0.000					0.000	0.000	0.000	0.000	0.000						0.000	0.000
2024-12-23					0.000	0.000								0.000					0.000	0.000	0.000	0.000	0.000			0.000			0.000	0.000
2025-01-06					0.000	0.000								0.000					0.000	0.000	0.000	0.000	0.000						0.000	0.000
2025-01-20					0.000	0.000													0.000	0.000	0.000	0.000	0.000			0.000	0.000		0.000	0.000
2025-02-03					0.000	0.000								0.000					0.000		0.000	0.000	0.000			0.000			0.000	0.000
2025-02-17					0.000	0.000						0.000	0.000	0.000					0.000	0.000	0.000	0.000	0.000			0.000			0.000	0.000
2025-03-03					0.000	0.000						0.000	0.000	0.000					0.000	0.000	0.000	0.000	0.000			0.000			0.000	0.000
2025-03-17					0.000	0.000						0.000	0.000	0.000					0.000	0.000	0.000	0.000	0.000	0.000		0.000			0.000	0.000
2025-03-31					0.000	0.000						0.000	0.000						0.000	0.000	0.000	0.000	0.000	0.000		0.000			0.000	0.000
2025-04-14			0.000		0.000	0.000						0.000	0.000	0.000					0.724	0.000	0.000	0.000	0.000	0.000					0.000	0.000
2025-04-28			0.000		0.000	0.000						0.000	0.000	0.000					0.000	0.000	0.000	0.000	0.000	0.000					0.000	0.000
2025-05-12			0.000		0.000	0.000						0.000	0.000	0.000					0.000	0.000	0.000	0.000	0.000	0.191		0.000			0.000	0.000
2025-05-26			0.000		0.108	0.000							0.000	0.000		0.000	0.000	0.000	0.000	0.000	4.282	0.000	0.000	0.000		0.000			0.104	0.000
2025-06-09			0.000		1.675	0.000					0.000	0.000	0.000	0.000	0.500	0.000	0.000	0.000	0.326	0.000	0.000	0.000	0.476	0.000		17.674			0.000	0.268
2025-06-23			0.113		0.000	0.178					0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000		0.000			0.185	0.206
2025-07-07			0.000		0.000	0.760					0.000	0.000	0.000	0.000	1.184	0.000	1.615	0.000	0.000	0.000	0.000	0.000	0.000	0.000					0.994	0.000
2025-07-21			0.000		0.281	0.000					2.134	0.000	0.000	1.109	0.000	0.000	0.000	0.000	0.000	0.000	0.488	0.000	0.000	0.000					0.000	0.000
2025-08-04			0.549		0.935	0.000			0.000		0.000	0.000	0.000	0.565	1.418	0.591	1.130	0.000	0.603	1.608	0.000	0.000	0.000	0.000					0.512	0.000
2025-08-18	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.273	0.000		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000		0.000		0.471	0.000
2025-09-01	0.000	0.000	0.000	0.267	0.000	0.000	0.000	0.000	0.000		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000		0.000	0.000	0.214	0.456
2025-09-15	0.000	0.000	0.000	1.014	0.000	0.000	0.000	0.000	0.000		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000				0.000	0.000	0.000
2025-09-29	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000				0.000	0.000	0.000
2025-10-13	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000			0.000	0.000	0.000
2025-10-27	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.359	0.000	0.184	0.000	0.000	0.000	0.000	0.000	0.000	0.000				0.000	0.000	0.000
2025-11-10	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.930	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000				0.000	0.000	0.000
2025-11-24	0.000	0.599	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000		0.000	0.000	0.000	0.000
2025-12-08	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
2025-12-22	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
2026-01-05	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
2026-01-19	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.480	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
2026-02-02	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
2026-02-16	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
2026-03-02	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
2026-03-16	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
2026-03-30	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000		0.000	0.000	0.000
2026-04-13	0.000	0.000	0.000	5.189	0.000	0.000	0.000	0.000	0.000	0.000	0.000		0.000	0.000	0.000	0.623	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.946	0.000
2026-04-27	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
2026-05-11	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000		0.000	0.000	0.000	0.000	0.000	0.000	0.731	0.000	0.000	0.000	0.000	0.000	0.000		0.000		0.000	0.000
2026-05-25	0.000	0.000	0.000	0.000	0.000	0.000	1.236	0.000	0.000	0.000	0.000		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.215	0.000		0.000		0.000	0.000
2026-06-08	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.369	0.120	0.000		0.000	0.000	0.723	0.000	0.000	0.000	0.000	0.000	1.776	0.000	0.000	0.324	0.000		0.000		0.180	0.000
