public_id	casper_code	sra_accession	collection_date	input_reads	diagnostic_reads	distinct_diagnostic_reads	max_diagnostic_kmers	distinct_diagnostic_reads_per_billion	positive
CA_Ontario_20250825	CA_Ontario	SRR36790980	2025-08-25	2294042350	0	0	0	0.000	no
CA_Ontario_20250827	CA_Ontario	SRR36790970	2025-08-27	2339340096	0	0	0	0.000	no
CA_Ontario_20250901	CA_Ontario	SRR36790957	2025-09-01	1788036102	0	0	0	0.000	no
CA_Ontario_20250903	CA_Ontario	SRR36790976	2025-09-03	1846097044	2	2	33	1.083	yes
CA_Ontario_20250908	CA_Ontario	SRR36790975	2025-09-08	2356144664	0	0	0	0.000	no
CA_Ontario_20250910	CA_Ontario	SRR36790974	2025-09-10	1493993074	0	0	0	0.000	no
CA_Ontario_20250915	CA_Ontario	SRR36790973	2025-09-15	2128871342	0	0	0	0.000	no
CA_Ontario_20250917	CA_Ontario	SRR36790972	2025-09-17	2736895406	0	0	0	0.000	no
CA_Ontario_20250922	CA_Ontario	SRR36790971	2025-09-22	1874506240	16	9	89	4.801	yes
CA_Ontario_20250924	CA_Ontario	SRR36790969	2025-09-24	2133592950	0	0	0	0.000	no
CA_Ontario_20250929	CA_Ontario	SRR36790967	2025-09-29	1823782982	0	0	0	0.000	no
CA_Ontario_20251001	CA_Ontario	SRR36790968	2025-10-01	2431683352	0	0	0	0.000	no
CA_Ontario_20251006	CA_Ontario	SRR36790966	2025-10-06	3258937848	0	0	0	0.000	no
CA_Ontario_20251008	CA_Ontario	SRR36790965	2025-10-08	2057898378	0	0	0	0.000	no
CA_Ontario_20251013	CA_Ontario	SRR36790964	2025-10-13	2609657160	0	0	0	0.000	no
CA_Ontario_20251019	CA_Ontario	SRR36790962	2025-10-19	1896411038	0	0	0	0.000	no
CA_Ontario_20251020	CA_Ontario	SRR36790963	2025-10-20	2563351962	0	0	0	0.000	no
CA_Ontario_20251023	CA_Ontario	SRR36790961	2025-10-23	2988138270	0	0	0	0.000	no
CA_Ontario_20251027	CA_Ontario	SRR36790960	2025-10-27	1699518202	0	0	0	0.000	no
CA_Ontario_20251029	CA_Ontario	SRR36790959	2025-10-29	1750201128	0	0	0	0.000	no
CA_Ontario_20251103	CA_Ontario	SRR36790958	2025-11-03	2470178842	0	0	0	0.000	no
CA_Ontario_20251105	CA_Ontario	SRR36790956	2025-11-05	2416774256	0	0	0	0.000	no
CA_Ontario_20251111	CA_Ontario	SRR36790981	2025-11-11	1768735910	0	0	0	0.000	no
CA_Ontario_20251118	CA_Ontario	SRR36790979	2025-11-18	1582481516	0	0	0	0.000	no
CA_Ontario_20251201	CA_Ontario	SRR36790978	2025-12-01	1224884758	0	0	0	0.000	no
CA_Ontario_20251208	CA_Ontario	SRR36790977	2025-12-08	1819509926	0	0	0	0.000	no
CA_Ontario_20251215	CA_Ontario	SRR37192085	2025-12-15	2064427622	0	0	0	0.000	no
CA_Ontario_20251229	CA_Ontario	SRR37192084	2025-12-29	1625085358	0	0	0	0.000	no
CA_Ontario_20260105	CA_Ontario	SRR37192083	2026-01-05	2006446930	0	0	0	0.000	no
CA_Ontario_20260112	CA_Ontario	SRR37192082	2026-01-12	1543125960	0	0	0	0.000	no
CA_Ontario_20260120	CA_Ontario	SRR37192081	2026-01-20	1567403508	0	0	0	0.000	no
CA_Ontario_20260126	CA_Ontario	SRR38294820	2026-01-26	2725076542	0	0	0	0.000	no
CA_Ontario_20260202	CA_Ontario	SRR38294811	2026-02-02	1313694452	0	0	0	0.000	no
CA_Ontario_20260209	CA_Ontario	SRR38294798	2026-02-09	2327557208	0	0	0	0.000	no
CA_Ontario_20260216	CA_Ontario	SRR38294792	2026-02-16	1235610362	0	0	0	0.000	no
CA_Ontario_20260223	CA_Ontario	SRR38294791	2026-02-23	1667620852	0	0	0	0.000	no
CA_Ontario_20260302	CA_Ontario	SRR38294790	2026-03-02	2843942210	0	0	0	0.000	no
CA_Ontario_20260311	CA_Ontario	SRR38294788	2026-03-11	1876517208	0	0	0	0.000	no
CA_Ontario_20260316	CA_Ontario	SRR38294789	2026-03-16	2429176034	0	0	0	0.000	no
CA_Ontario_20260323	CA_Ontario	SRR38294787	2026-03-23	1801661184	0	0	0	0.000	no
CA_Ontario_20260330	CA_Ontario	SRR38294970	2026-03-30	1116142216	0	0	0	0.000	no
CA_Ontario_20260406	CA_Ontario	SRR39695383	2026-04-06	1344157580	0	0	0	0.000	no
CA_Ontario_20260413	CA_Ontario	SRR39695241	2026-04-13	2375376074	62	24	100	10.104	yes
CA_Ontario_20260420	CA_Ontario	SRR39695239	2026-04-20	2249814424	0	0	0	0.000	no
CA_Ontario_20260427	CA_Ontario	SRR39695240	2026-04-27	1222111132	0	0	0	0.000	no
CA_Ontario_20260504	CA_Ontario	SRR39695238	2026-05-04	2379946624	0	0	0	0.000	no
CA_Ontario_20260511	CA_Ontario	SRR39695237	2026-05-11	1966681284	0	0	0	0.000	no
CA_Ontario_20260518	CA_Ontario	SRR39695235	2026-05-18	1386310712	0	0	0	0.000	no
CA_Ontario_20260525	CA_Ontario	SRR39695234	2026-05-25	2525152442	0	0	0	0.000	no
CA_Ontario_20260601	CA_Ontario	SRR39695232	2026-06-01	1324518016	0	0	0	0.000	no
CA_Ontario_20260608	CA_Ontario	SRR39695233	2026-06-08	2562986910	0	0	0	0.000	no
CA_Ontario_20260615	CA_Ontario	SRR39695231	2026-06-15	1410888294	0	0	0	0.000	no
CA_Ontario_20260622	CA_Ontario	SRR39695230	2026-06-22	1788042478	0	0	0	0.000	no
CA_PaloAlto_20250825	CA_PaloAlto	SRR37036134	2025-08-25	2024066446	0	0	0	0.000	no
CA_PaloAlto_20250902	CA_PaloAlto	SRR37036133	2025-09-02	1971696074	0	0	0	0.000	no
CA_PaloAlto_20250908	CA_PaloAlto	SRR37036126	2025-09-08	1986680648	0	0	0	0.000	no
CA_PaloAlto_20250915	CA_PaloAlto	SRR37036127	2025-09-15	2162924074	0	0	0	0.000	no
CA_PaloAlto_20250922	CA_PaloAlto	SRR37036125	2025-09-22	2751293536	0	0	0	0.000	no
CA_PaloAlto_20250929	CA_PaloAlto	SRR37036124	2025-09-29	1740371584	0	0	0	0.000	no
CA_PaloAlto_20251006	CA_PaloAlto	SRR37036123	2025-10-06	1723621368	0	0	0	0.000	no
CA_PaloAlto_20251014	CA_PaloAlto	SRR37036121	2025-10-14	2384246656	0	0	0	0.000	no
CA_PaloAlto_20251022	CA_PaloAlto	SRR37036122	2025-10-22	2679046582	0	0	0	0.000	no
CA_PaloAlto_20251027	CA_PaloAlto	SRR37036120	2025-10-27	2932718956	0	0	0	0.000	no
CA_PaloAlto_20251105	CA_PaloAlto	SRR37036131	2025-11-05	3300736762	0	0	0	0.000	no
CA_PaloAlto_20251110	CA_PaloAlto	SRR37036132	2025-11-10	2146522392	0	0	0	0.000	no
CA_PaloAlto_20251124	CA_PaloAlto	SRR37036130	2025-11-24	1362829678	0	0	0	0.000	no
CA_PaloAlto_20251201	CA_PaloAlto	SRR37036129	2025-12-01	1479586450	0	0	0	0.000	no
CA_PaloAlto_20251209	CA_PaloAlto	SRR37036128	2025-12-09	1819784206	0	0	0	0.000	no
CA_PaloAlto_20251216	CA_PaloAlto	SRR37181178	2025-12-16	2135510844	0	0	0	0.000	no
CA_PaloAlto_20251222	CA_PaloAlto	SRR37181156	2025-12-22	1744084566	0	0	0	0.000	no
CA_PaloAlto_20251229	CA_PaloAlto	SRR37181154	2025-12-29	2047565474	0	0	0	0.000	no
CA_PaloAlto_20260106	CA_PaloAlto	SRR37181155	2026-01-06	1949596204	0	0	0	0.000	no
CA_PaloAlto_20260112	CA_PaloAlto	SRR37181153	2026-01-12	1056314588	0	0	0	0.000	no
CA_PaloAlto_20260120	CA_PaloAlto	SRR37181152	2026-01-20	1203974358	0	0	0	0.000	no
CA_PaloAlto_20260126	CA_PaloAlto	SRR38294786	2026-01-26	2684046468	0	0	0	0.000	no
CA_PaloAlto_20260202	CA_PaloAlto	SRR38294967	2026-02-02	1311171012	0	0	0	0.000	no
CA_PaloAlto_20260209	CA_PaloAlto	SRR38294784	2026-02-09	2577909644	0	0	0	0.000	no
CA_PaloAlto_20260217	CA_PaloAlto	SRR38294782	2026-02-17	2423900262	0	0	0	0.000	no
CA_PaloAlto_20260224	CA_PaloAlto	SRR38294781	2026-02-24	1250830872	0	0	0	0.000	no
CA_PaloAlto_20260302	CA_PaloAlto	SRR38294780	2026-03-02	1695189128	0	0	0	0.000	no
CA_PaloAlto_20260309	CA_PaloAlto	SRR38294778	2026-03-09	2309791914	0	0	0	0.000	no
CA_PaloAlto_20260316	CA_PaloAlto	SRR38294779	2026-03-16	2049149540	0	0	0	0.000	no
CA_PaloAlto_20260323	CA_PaloAlto	SRR38294777	2026-03-23	1390197128	0	0	0	0.000	no
CA_PaloAlto_20260330	CA_PaloAlto	SRR38294776	2026-03-30	1821080648	0	0	0	0.000	no
CA_PaloAlto_20260406	CA_PaloAlto	SRR39695382	2026-04-06	1269009016	0	0	0	0.000	no
CA_PaloAlto_20260413	CA_PaloAlto	SRR39695391	2026-04-13	1479419586	0	0	0	0.000	no
CA_PaloAlto_20260420	CA_PaloAlto	SRR39695392	2026-04-20	1776661818	0	0	0	0.000	no
CA_PaloAlto_20260427	CA_PaloAlto	SRR39695390	2026-04-27	2527526222	0	0	0	0.000	no
CA_PaloAlto_20260504	CA_PaloAlto	SRR39695388	2026-05-04	1333793142	0	0	0	0.000	no
CA_PaloAlto_20260511	CA_PaloAlto	SRR39695386	2026-05-11	1720479730	0	0	0	0.000	no
CA_PaloAlto_20260518	CA_PaloAlto	SRR39695385	2026-05-18	1909388606	0	0	0	0.000	no
CA_PaloAlto_20260526	CA_PaloAlto	SRR39695343	2026-05-26	1547089486	0	0	0	0.000	no
CA_PaloAlto_20260602	CA_PaloAlto	SRR39695341	2026-06-02	2277456152	0	0	0	0.000	no
CA_PaloAlto_20260608	CA_PaloAlto	SRR39695381	2026-06-08	1229034962	0	0	0	0.000	no
CA_PaloAlto_20260615	CA_PaloAlto	SRR39695380	2026-06-15	2121711002	0	0	0	0.000	no
CA_PaloAlto_20260622	CA_PaloAlto	SRR39695379	2026-06-22	2095012800	2	1	68	0.477	yes
CA_PaloAlto_20260630	CA_PaloAlto	SRR39695344	2026-06-30	1090771732	0	0	0	0.000	no
CA_Riverside_20241209	CA_Riverside	SRR33038207	2024-12-09	1433656712	0	0	0	0.000	no
CA_Riverside_20241216	CA_Riverside	SRR33038053	2024-12-16	777600958	0	0	0	0.000	no
CA_Riverside_20241216	CA_Riverside	SRR33038054	2024-12-16	1102697248	0	0	0	0.000	no
CA_Riverside_20241223	CA_Riverside	SRR33037998	2024-12-23	963748978	0	0	0	0.000	no
CA_Riverside_20241223	CA_Riverside	SRR33038097	2024-12-23	672037580	0	0	0	0.000	no
CA_Riverside_20241229	CA_Riverside	SRR33038188	2024-12-29	769485518	0	0	0	0.000	no
CA_Riverside_20241229	CA_Riverside	SRR33038189	2024-12-29	1103861322	0	0	0	0.000	no
CA_Riverside_20250106	CA_Riverside	SRR33038171	2025-01-06	1057853338	0	0	0	0.000	no
CA_Riverside_20250106	CA_Riverside	SRR33038172	2025-01-06	738081288	0	0	0	0.000	no
CA_Riverside_20250113	CA_Riverside	SRR33038047	2025-01-13	1924857130	0	0	0	0.000	no
CA_Riverside_20250120	CA_Riverside	SRR33038036	2025-01-20	2102704850	0	0	0	0.000	no
CA_Riverside_20250203	CA_Riverside	SRR33038087	2025-02-03	1676256252	0	0	0	0.000	no
CA_Riverside_20250210	CA_Riverside	SRR33038161	2025-02-10	1690367620	0	0	0	0.000	no
CA_Riverside_20250217	CA_Riverside	SRR33038152	2025-02-17	2148884300	0	0	0	0.000	no
CA_Riverside_20250224	CA_Riverside	SRR33038142	2025-02-24	3156158250	0	0	0	0.000	no
CA_Riverside_20250303	CA_Riverside	SRR33038017	2025-03-03	2105067572	0	0	0	0.000	no
CA_Riverside_20250306	CA_Riverside	SRR33038079	2025-03-06	1488030616	0	0	0	0.000	no
CA_Riverside_20250310	CA_Riverside	SRR33038131	2025-03-10	1590051190	0	0	0	0.000	no
CA_Riverside_20250313	CA_Riverside	SRR35931385	2025-03-13	1578138486	0	0	0	0.000	no
CA_Riverside_20250317	CA_Riverside	SRR35931357	2025-03-17	2119135544	0	0	0	0.000	no
CA_Riverside_20250320	CA_Riverside	SRR35931384	2025-03-20	1272989716	0	0	0	0.000	no
CA_Riverside_20250324	CA_Riverside	SRR35931354	2025-03-24	1528812044	0	0	0	0.000	no
CA_Riverside_20250327	CA_Riverside	SRR35931341	2025-03-27	1514572072	0	0	0	0.000	no
CA_Riverside_20250331	CA_Riverside	SRR35931333	2025-03-31	1412068702	0	0	0	0.000	no
CA_Riverside_20250403	CA_Riverside	SRR35931365	2025-04-03	1975091236	0	0	0	0.000	no
CA_Riverside_20250407	CA_Riverside	SRR35931361	2025-04-07	2245570050	0	0	0	0.000	no
CA_Riverside_20250410	CA_Riverside	SRR35931344	2025-04-10	2236665084	0	0	0	0.000	no
CA_Riverside_20250414	CA_Riverside	SRR35931342	2025-04-14	2271573468	0	0	0	0.000	no
CA_Riverside_20250417	CA_Riverside	SRR35931358	2025-04-17	1509605542	0	0	0	0.000	no
CA_Riverside_20250421	CA_Riverside	SRR35931359	2025-04-21	1610529530	0	0	0	0.000	no
CA_Riverside_20250428	CA_Riverside	SRR35931360	2025-04-28	1442991024	0	0	0	0.000	no
CA_Riverside_20250429	CA_Riverside	SRR35931377	2025-04-29	1164459942	0	0	0	0.000	no
CA_Riverside_20250505	CA_Riverside	SRR35931379	2025-05-05	1453757808	0	0	0	0.000	no
CA_Riverside_20250508	CA_Riverside	SRR35931380	2025-05-08	1907214214	0	0	0	0.000	no
CA_Riverside_20250512	CA_Riverside	SRR35931381	2025-05-12	2198876654	0	0	0	0.000	no
CA_Riverside_20250515	CA_Riverside	SRR35931382	2025-05-15	1637921838	0	0	0	0.000	no
CA_Riverside_20250519	CA_Riverside	SRR35931383	2025-05-19	1947225206	0	0	0	0.000	no
CA_Riverside_20250522	CA_Riverside	SRR35931352	2025-05-22	2534580660	0	0	0	0.000	no
