key	value
conclusion	PASS: A species-specific mature-rRNA k=31 bait set was produced.
build_status	PASS
index.k	31
index.w	1
index.bait_count	1388
index.indexed_minimizer_count	1388
attrition.target_candidate_count	5561
attrition.silva_shared_count	3473
attrition.rfam_shared_count	273
attrition.exact_specific_candidate_count	1670
attrition.low_complexity_rejected_count	282
attrition.pass_count	1388
specificity.other_cyclospora_shared_count	1846
genus.genus_compatible_candidate_count	1839
genus.genus_level_status	SPECIES_SPECIFIC_CANDIDATES
class.18S.target_candidate_count	1824
class.18S.silva_shared_count	1566
class.18S.rfam_shared_count	24
class.18S.exact_specific_candidate_count	89
class.18S.low_complexity_rejected_count	17
class.18S.pass_count	72
class.18S.other_cyclospora_shared_count	1720
class.5.8S.target_candidate_count	126
class.5.8S.silva_shared_count	0
class.5.8S.rfam_shared_count	126
class.5.8S.exact_specific_candidate_count	0
class.5.8S.low_complexity_rejected_count	0
class.5.8S.pass_count	0
class.5.8S.other_cyclospora_shared_count	126
class.28S.target_candidate_count	3457
class.28S.silva_shared_count	1907
class.28S.rfam_shared_count	0
class.28S.exact_specific_candidate_count	1550
class.28S.low_complexity_rejected_count	257
class.28S.pass_count	1293
class.28S.other_cyclospora_shared_count	0
class.5S.target_candidate_count	154
class.5S.silva_shared_count	0
class.5S.rfam_shared_count	123
class.5S.exact_specific_candidate_count	31
class.5S.low_complexity_rejected_count	8
class.5S.pass_count	23
class.5S.other_cyclospora_shared_count	0
locus.18S|AF111183.1|NW_019209939.1|1-1780|+.rrna_class	18S
locus.18S|AF111183.1|NW_019209939.1|1-1780|+.length	1780
locus.18S|AF111183.1|NW_019209939.1|1-1780|+.candidate_count	1750
locus.18S|AF111183.1|NW_019209939.1|1-1780|+.pass_count	52
locus.18S|AF111183.1|NW_019209939.1|1-1780|+.bases_covered	152
locus.18S|AF111183.1|NW_019209939.1|1-1780|+.read_starts_150_total	1631
locus.18S|AF111183.1|NW_019209939.1|1-1780|+.read_starts_150_covered	285
locus.18S|AF111183.1|NW_020312507.1|24-1815|+.rrna_class	18S
locus.18S|AF111183.1|NW_020312507.1|24-1815|+.length	1792
locus.18S|AF111183.1|NW_020312507.1|24-1815|+.candidate_count	1762
locus.18S|AF111183.1|NW_020312507.1|24-1815|+.pass_count	53
locus.18S|AF111183.1|NW_020312507.1|24-1815|+.bases_covered	157
locus.18S|AF111183.1|NW_020312507.1|24-1815|+.read_starts_150_total	1643
locus.18S|AF111183.1|NW_020312507.1|24-1815|+.read_starts_150_covered	373
locus.28S|MPGL01000046.1|NW_019209236.1|46-3532|-.rrna_class	28S
locus.28S|MPGL01000046.1|NW_019209236.1|46-3532|-.length	3487
locus.28S|MPGL01000046.1|NW_019209236.1|46-3532|-.candidate_count	3457
locus.28S|MPGL01000046.1|NW_019209236.1|46-3532|-.pass_count	1293
locus.28S|MPGL01000046.1|NW_019209236.1|46-3532|-.bases_covered	2169
locus.28S|MPGL01000046.1|NW_019209236.1|46-3532|-.read_starts_150_total	3338
locus.28S|MPGL01000046.1|NW_019209236.1|46-3532|-.read_starts_150_covered	2778
locus.5.8S|XR_003297357.1|NW_019209236.1|4247-4402|-.rrna_class	5.8S
locus.5.8S|XR_003297357.1|NW_019209236.1|4247-4402|-.length	156
locus.5.8S|XR_003297357.1|NW_019209236.1|4247-4402|-.candidate_count	126
locus.5.8S|XR_003297357.1|NW_019209236.1|4247-4402|-.pass_count	0
locus.5.8S|XR_003297357.1|NW_019209236.1|4247-4402|-.bases_covered	0
locus.5.8S|XR_003297357.1|NW_019209236.1|4247-4402|-.read_starts_150_total	7
locus.5.8S|XR_003297357.1|NW_019209236.1|4247-4402|-.read_starts_150_covered	0
locus.5S|XR_003297348.1|NW_019209216.1|779-900|+.rrna_class	5S
locus.5S|XR_003297348.1|NW_019209216.1|779-900|+.length	122
locus.5S|XR_003297348.1|NW_019209216.1|779-900|+.candidate_count	92
locus.5S|XR_003297348.1|NW_019209216.1|779-900|+.pass_count	0
locus.5S|XR_003297348.1|NW_019209216.1|779-900|+.bases_covered	0
locus.5S|XR_003297348.1|NW_019209216.1|779-900|+.read_starts_150_total	0
locus.5S|XR_003297348.1|NW_019209216.1|779-900|+.read_starts_150_covered	0
locus.5S|XR_003297348.1|NW_019210658.1|27886-28007|+.rrna_class	5S
locus.5S|XR_003297348.1|NW_019210658.1|27886-28007|+.length	122
locus.5S|XR_003297348.1|NW_019210658.1|27886-28007|+.candidate_count	92
locus.5S|XR_003297348.1|NW_019210658.1|27886-28007|+.pass_count	0
locus.5S|XR_003297348.1|NW_019210658.1|27886-28007|+.bases_covered	0
locus.5S|XR_003297348.1|NW_019210658.1|27886-28007|+.read_starts_150_total	0
locus.5S|XR_003297348.1|NW_019210658.1|27886-28007|+.read_starts_150_covered	0
locus.5S|XR_003297348.1|NW_020312400.1|6413-6534|+.rrna_class	5S
locus.5S|XR_003297348.1|NW_020312400.1|6413-6534|+.length	122
locus.5S|XR_003297348.1|NW_020312400.1|6413-6534|+.candidate_count	92
locus.5S|XR_003297348.1|NW_020312400.1|6413-6534|+.pass_count	23
locus.5S|XR_003297348.1|NW_020312400.1|6413-6534|+.bases_covered	61
locus.5S|XR_003297348.1|NW_020312400.1|6413-6534|+.read_starts_150_total	0
locus.5S|XR_003297348.1|NW_020312400.1|6413-6534|+.read_starts_150_covered	0
