target_record_id	rrna_class	query_accession	subject_accession	start	end	strand
18S|AF111183.1|NW_020312507.1|24-1815|+	18S	AF111183.1	NW_020312507.1	24	1815	+
18S|AF111183.1|NW_019209939.1|1-1780|+	18S	AF111183.1	NW_019209939.1	1	1780	+
28S|MPGL01000046.1|NW_019209236.1|46-3532|-	28S	MPGL01000046.1	NW_019209236.1	46	3532	-
5.8S|XR_003297357.1|NW_019209236.1|4247-4402|-	5.8S	XR_003297357.1	NW_019209236.1	4247	4402	-
5.8S|XR_003297357.1|NW_019209236.1|4247-4402|-	5.8S	XR_003297357.1	NW_020312507.1	2398	2553	+
5S|XR_003297348.1|NW_020312400.1|6413-6534|+	5S	XR_003297348.1	NW_020312400.1	6413	6534	+
5S|XR_003297348.1|NW_020312400.1|6413-6534|+	5S	XR_003297351.1	NW_020312400.1	6413	6534	+
5S|XR_003297348.1|NW_020312400.1|6413-6534|+	5S	XR_003297352.1	NW_020312400.1	6413	6534	+
5S|XR_003297348.1|NW_020312400.1|6413-6534|+	5S	XR_003297353.1	NW_020312400.1	6413	6534	+
5S|XR_003297348.1|NW_020312400.1|6413-6534|+	5S	XR_003297354.1	NW_020312400.1	6413	6534	+
5S|XR_003297348.1|NW_020312400.1|6413-6534|+	5S	XR_003297364.1	NW_020312400.1	6413	6534	+
5S|XR_003297348.1|NW_019209216.1|779-900|+	5S	XR_003297348.1	NW_019209216.1	779	900	+
5S|XR_003297348.1|NW_019209216.1|779-900|+	5S	XR_003297348.1	NW_019209405.1	65	186	-
5S|XR_003297348.1|NW_019209216.1|779-900|+	5S	XR_003297348.1	NW_019209669.1	65	186	-
5S|XR_003297348.1|NW_019209216.1|779-900|+	5S	XR_003297348.1	NW_019210371.1	74	195	+
5S|XR_003297348.1|NW_019209216.1|779-900|+	5S	XR_003297348.1	NW_019210680.1	694	815	+
5S|XR_003297348.1|NW_019209216.1|779-900|+	5S	XR_003297348.1	NW_019211138.1	27	148	+
5S|XR_003297348.1|NW_019209216.1|779-900|+	5S	XR_003297348.1	NW_020312267.1	4	125	-
5S|XR_003297348.1|NW_019209216.1|779-900|+	5S	XR_003297348.1	NW_020312380.1	6	127	-
5S|XR_003297348.1|NW_019209216.1|779-900|+	5S	XR_003297348.1	NW_020312430.1	4	125	-
5S|XR_003297348.1|NW_019209216.1|779-900|+	5S	XR_003297348.1	NW_020312720.1	21	142	-
5S|XR_003297348.1|NW_019209216.1|779-900|+	5S	XR_003297351.1	NW_019209216.1	779	900	+
5S|XR_003297348.1|NW_019209216.1|779-900|+	5S	XR_003297351.1	NW_019209405.1	65	186	-
5S|XR_003297348.1|NW_019209216.1|779-900|+	5S	XR_003297351.1	NW_019209669.1	65	186	-
5S|XR_003297348.1|NW_019209216.1|779-900|+	5S	XR_003297351.1	NW_019210371.1	74	195	+
5S|XR_003297348.1|NW_019209216.1|779-900|+	5S	XR_003297351.1	NW_019210680.1	694	815	+
5S|XR_003297348.1|NW_019209216.1|779-900|+	5S	XR_003297351.1	NW_019211138.1	27	148	+
5S|XR_003297348.1|NW_019209216.1|779-900|+	5S	XR_003297351.1	NW_020312267.1	4	125	-
5S|XR_003297348.1|NW_019209216.1|779-900|+	5S	XR_003297351.1	NW_020312380.1	6	127	-
5S|XR_003297348.1|NW_019209216.1|779-900|+	5S	XR_003297351.1	NW_020312430.1	4	125	-
5S|XR_003297348.1|NW_019209216.1|779-900|+	5S	XR_003297351.1	NW_020312720.1	21	142	-
5S|XR_003297348.1|NW_019209216.1|779-900|+	5S	XR_003297352.1	NW_019209216.1	779	900	+
5S|XR_003297348.1|NW_019209216.1|779-900|+	5S	XR_003297352.1	NW_019209405.1	65	186	-
5S|XR_003297348.1|NW_019209216.1|779-900|+	5S	XR_003297352.1	NW_019209669.1	65	186	-
5S|XR_003297348.1|NW_019209216.1|779-900|+	5S	XR_003297352.1	NW_019210371.1	74	195	+
5S|XR_003297348.1|NW_019209216.1|779-900|+	5S	XR_003297352.1	NW_019210680.1	694	815	+
5S|XR_003297348.1|NW_019209216.1|779-900|+	5S	XR_003297352.1	NW_019211138.1	27	148	+
5S|XR_003297348.1|NW_019209216.1|779-900|+	5S	XR_003297352.1	NW_020312267.1	4	125	-
5S|XR_003297348.1|NW_019209216.1|779-900|+	5S	XR_003297352.1	NW_020312380.1	6	127	-
5S|XR_003297348.1|NW_019209216.1|779-900|+	5S	XR_003297352.1	NW_020312430.1	4	125	-
5S|XR_003297348.1|NW_019209216.1|779-900|+	5S	XR_003297352.1	NW_020312720.1	21	142	-
5S|XR_003297348.1|NW_019209216.1|779-900|+	5S	XR_003297353.1	NW_019209216.1	779	900	+
5S|XR_003297348.1|NW_019209216.1|779-900|+	5S	XR_003297353.1	NW_019209405.1	65	186	-
5S|XR_003297348.1|NW_019209216.1|779-900|+	5S	XR_003297353.1	NW_019209669.1	65	186	-
5S|XR_003297348.1|NW_019209216.1|779-900|+	5S	XR_003297353.1	NW_019210371.1	74	195	+
5S|XR_003297348.1|NW_019209216.1|779-900|+	5S	XR_003297353.1	NW_019210680.1	694	815	+
5S|XR_003297348.1|NW_019209216.1|779-900|+	5S	XR_003297353.1	NW_019211138.1	27	148	+
5S|XR_003297348.1|NW_019209216.1|779-900|+	5S	XR_003297353.1	NW_020312267.1	4	125	-
5S|XR_003297348.1|NW_019209216.1|779-900|+	5S	XR_003297353.1	NW_020312380.1	6	127	-
5S|XR_003297348.1|NW_019209216.1|779-900|+	5S	XR_003297353.1	NW_020312430.1	4	125	-
5S|XR_003297348.1|NW_019209216.1|779-900|+	5S	XR_003297353.1	NW_020312720.1	21	142	-
5S|XR_003297348.1|NW_019209216.1|779-900|+	5S	XR_003297354.1	NW_019209216.1	779	900	+
5S|XR_003297348.1|NW_019209216.1|779-900|+	5S	XR_003297354.1	NW_019209405.1	65	186	-
5S|XR_003297348.1|NW_019209216.1|779-900|+	5S	XR_003297354.1	NW_019209669.1	65	186	-
5S|XR_003297348.1|NW_019209216.1|779-900|+	5S	XR_003297354.1	NW_019210371.1	74	195	+
5S|XR_003297348.1|NW_019209216.1|779-900|+	5S	XR_003297354.1	NW_019210680.1	694	815	+
5S|XR_003297348.1|NW_019209216.1|779-900|+	5S	XR_003297354.1	NW_019211138.1	27	148	+
5S|XR_003297348.1|NW_019209216.1|779-900|+	5S	XR_003297354.1	NW_020312267.1	4	125	-
