sample	read_id	representative_id	deacon_hits	read_length
CA_Ontario_20250825__SRR36790980	CA_Ontario_20250825__SRR36790980|SRR36790980.17236511/2	CA_Ontario_20250825__SRR36790980|SRR36790980.17236511/2	1	151
CA_Ontario_20250825__SRR36790980	CA_Ontario_20250825__SRR36790980|SRR36790980.195468993/2	CA_Ontario_20250825__SRR36790980|SRR36790980.195468993/2	2	151
CA_Ontario_20250825__SRR36790980	CA_Ontario_20250825__SRR36790980|SRR36790980.258199104/1	CA_Ontario_20250825__SRR36790980|SRR36790980.258199104/1	2	151
CA_Ontario_20250825__SRR36790980	CA_Ontario_20250825__SRR36790980|SRR36790980.272974454/1	CA_Ontario_20250825__SRR36790980|SRR36790980.272974454/1	2	151
CA_Ontario_20250825__SRR36790980	CA_Ontario_20250825__SRR36790980|SRR36790980.311634521/1	CA_Ontario_20250825__SRR36790980|SRR36790980.311634521/1	2	151
CA_Ontario_20250825__SRR36790980	CA_Ontario_20250825__SRR36790980|SRR36790980.643331608/1	CA_Ontario_20250825__SRR36790980|SRR36790980.643331608/1	1	151
CA_Ontario_20250825__SRR36790980	CA_Ontario_20250825__SRR36790980|SRR36790980.761597674/2	CA_Ontario_20250825__SRR36790980|SRR36790980.761597674/2	2	151
CA_Ontario_20250827__SRR36790970	CA_Ontario_20250827__SRR36790970|SRR36790970.1054988834/2	CA_Ontario_20250825__SRR36790980|SRR36790980.761597674/2	2	151
CA_Ontario_20250827__SRR36790970	CA_Ontario_20250827__SRR36790970|SRR36790970.157232532/1	CA_Ontario_20250827__SRR36790970|SRR36790970.157232532/1	2	151
CA_Ontario_20250827__SRR36790970	CA_Ontario_20250827__SRR36790970|SRR36790970.187281737/2	CA_Ontario_20250827__SRR36790970|SRR36790970.187281737/2	2	151
CA_Ontario_20250827__SRR36790970	CA_Ontario_20250827__SRR36790970|SRR36790970.27638886/1	CA_Ontario_20250827__SRR36790970|SRR36790970.27638886/1	2	151
