accession	rrna_class	query_start	query_end	min_identity	min_query_coverage
AF111183.1	18S	1	1795	98.0	90.0
MPGL01000046.1	28S	11	3500	98.0	90.0
XR_003297357.1	5.8S	1	0	98.0	90.0
XR_003297348.1	5S	1	0	98.0	90.0
XR_003297351.1	5S	1	0	98.0	90.0
XR_003297352.1	5S	1	0	98.0	90.0
XR_003297353.1	5S	1	0	98.0	90.0
XR_003297354.1	5S	1	0	98.0	90.0
XR_003297364.1	5S	1	0	98.0	90.0
